strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,67.56,7.04,3,10067.56,0.18
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.5,81.1,8.45,3,10081.1,0.22
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.0,101.44,10.56,3,10101.44,0.28
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,3.0,112.75,11.73,3,10112.75,0.31
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.5,135.39,14.08,3,10135.39,0.37
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.0,169.4,17.6,3,10169.4,0.46
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,3.0,226.25,23.46,3,10226.25,0.61
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.5,271.87,28.15,3,10271.87,0.73
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.0,340.53,35.19,3,10340.53,0.92
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.0,363.45,63.77,3,10363.45,0.98
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.01,3.0,374.61,132.18,14,10374.61,1.01
rsi,"period=8,eL=30.0,xL=55.0,ema=200",0.005,3.0,375.94,138.86,87,10375.94,1.01
rsi,"period=14,eL=30.0,xL=55.0,ema=200",0.01,3.0,395.81,139.03,14,10395.81,1.06
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.01,2.5,471.78,159.65,14,10471.78,1.27
rsi,"period=14,eL=30.0,xL=55.0,ema=200",0.01,2.5,497.38,160.83,14,10497.38,1.33
rsi,"period=8,eL=30.0,xL=55.0,ema=200",0.005,2.0,542.61,175.16,92,10542.61,1.45
rsi,"period=8,eL=25.0,xL=55.0,ema=200",0.01,2.5,618.19,237.21,46,10618.19,1.65
bollinger,"period=20,mult=2.0",0.003,3.0,716.94,276.78,310,10716.94,1.91
rsi,"period=8,eL=30.0,xL=50.0,ema=200",0.005,2.0,776.83,284.99,87,10776.83,2.06
rsi,"period=8,eL=30.0,xL=55.0,ema=200",0.01,2.5,878.96,350.74,90,10878.96,2.32
rsi,"period=8,eL=30.0,xL=55.0,ema=200",0.01,2.0,1105.37,363.69,92,11105.37,2.9
bollinger,"period=50,mult=3.0",0.003,3.0,1140.26,423.39,80,11140.26,2.99
ema,"fast=10,slow=50",0.003,3.0,1142.97,430.49,221,11142.97,3.0
bollinger,"period=50,mult=2.0",0.003,2.5,1174.55,433.58,144,11174.55,3.07
bollinger,"period=50,mult=2.5",0.003,3.0,1206.05,435.14,106,11206.05,3.15
bollinger,"period=50,mult=3.0",0.003,2.5,1287.79,464.27,82,11287.79,3.36
bollinger,"period=50,mult=2.5",0.003,2.5,1430.5,479.85,108,11430.5,3.71
bollinger,"period=50,mult=2.5",0.003,2.0,1558.06,550.84,112,11558.06,4.03
rsi,"period=8,eL=30.0,xL=50.0,ema=200",0.01,2.0,1603.58,605.0,87,11603.58,4.14
ema,"fast=10,slow=50",0.003,2.0,1641.51,633.6,221,11641.51,4.23
ema,"fast=20,slow=100",0.003,2.0,1679.0,648.13,102,11679.0,4.32
bollinger,"period=50,mult=3.0",0.005,3.0,1949.33,725.24,80,11949.33,4.98
bollinger,"period=50,mult=2.0",0.005,2.5,1993.14,739.08,144,11993.14,5.08
bollinger,"period=50,mult=2.5",0.005,3.0,2065.17,745.15,106,12065.17,5.25
bollinger,"period=50,mult=3.0",0.005,2.5,2205.92,800.57,82,12205.92,5.59
bollinger,"period=50,mult=2.5",0.005,2.5,2461.43,828.71,108,12461.43,6.18
bollinger,"period=50,mult=2.5",0.005,2.0,2678.0,941.66,112,12678.0,6.68
ema,"fast=10,slow=50",0.005,2.0,2775.77,1070.38,221,12775.77,6.91
ema,"fast=20,slow=100",0.005,2.0,2863.24,1123.67,102,12863.24,7.11
bollinger,"period=50,mult=2.0",0.01,3.0,3236.73,1367.21,142,13236.73,7.95
ema,"fast=10,slow=50",0.01,3.0,3958.83,1544.84,221,13958.83,9.52
bollinger,"period=50,mult=3.0",0.01,3.0,4149.33,1550.59,80,14149.33,9.93
bollinger,"period=50,mult=2.0",0.01,2.5,4153.41,1558.43,144,14153.41,9.94
bollinger,"period=50,mult=2.5",0.01,3.0,4413.08,1591.46,106,14413.08,10.48
bollinger,"period=50,mult=3.0",0.01,2.5,4715.87,1739.15,82,14715.87,11.11
bollinger,"period=50,mult=2.5",0.01,2.5,5321.55,1806.24,108,15321.55,12.34
bollinger,"period=50,mult=2.5",0.01,2.0,5764.9,1999.13,112,15764.9,13.22
ema,"fast=20,slow=100",0.01,2.0,6018.69,2463.42,102,16018.69,13.71
